WHO_LABEL,pango_lineage,gisaid_lineage,nextclade_clade,TYPE,update_date
Alpha,B.1.1.7,GRY,20I,VOC,8/24/2021
Beta,B.1.351,GH/501Y.V2,20H,VOC,8/24/2021
Beta,B.1.351.2,GH/501Y.V2,20H,VOC,8/24/2021
Beta,B.1.351.3,GH/501Y.V2,20H,VOC,8/24/2021
Gamma,P.1,GR/501Y.V3,20J,VOC,8/24/2021
Gamma,P.1.1,GR/501Y.V3,20J,VOC,8/24/2021
Gamma,P.1.2,GR/501Y.V3,20J,VOC,8/24/2021
Gamma,P.1.4,GR/501Y.V3,20J,VOC,8/24/2021
Gamma,P.1.6,GR/501Y.V3,20J,VOC,8/24/2021
Gamma,P.1.7,GR/501Y.V3,20J,VOC,8/24/2021
Delta,B.1.617.2,G/478K.V1,21A,VOC,8/24/2021
Delta,AY.1,G/478K.V1,21A,VOC,8/24/2021
Delta,AY.2,G/478K.V1,21A,VOC,8/24/2021
Delta,AY.3,G/478K.V1,21A,VOC,8/24/2021
Delta,AY.3.1,G/478K.V1,21A,VOC,8/24/2021
Eta,B.1.525,G/484K.V3,21D,VOI,8/24/2021
Iota,B.1.526,GH/253G.V1,21F,VOI,8/24/2021
Kappa,B.1.617.1,G/452R.V3,21B,VOI,8/24/2021
Lambda,C.37,GR/452Q.V1,20D,VOI,8/24/2021
